#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
46.255	529	46.281	518
46.306	506	46.332	547
46.357	482	46.382	577
46.408	458	46.433	606
46.458	436	46.484	635
46.509	416	46.535	660
46.559	399	46.585	681
46.611	387	46.636	696
46.661	380	46.686	705
46.712	379	46.738	708
46.762	383	46.788	703
46.813	393	46.839	691
46.864	406	46.889	674
46.915	424	46.940	652
46.965	446	46.990	626
47.016	468	47.042	597
47.066	494	47.092	567
47.117	516	47.143	538
47.168	537	47.193	511
47.219	556	47.244	487
47.269	570	47.295	469
47.320	579	47.346	457
47.370	584	47.396	451
47.422	583	47.447	451
47.472	576	47.497	459
47.523	564	47.549	473
47.573	548	47.599	493
47.624	528	47.650	517
47.675	506	47.700	545
47.726	483	47.751	574
47.776	459	47.801	603
47.827	437	47.853	631
47.877	417	47.903	656
47.928	400	47.954	678
47.979	388	48.004	692
48.030	381	48.055	701
48.081	380	48.106	705
48.131	383	48.157	699
48.182	393	48.207	690
48.233	407	48.258	673
48.284	425	48.308	652
48.334	446	48.360	627
48.385	468	48.410	599
48.435	492	48.461	570
48.487	515	48.511	542
48.537	537	48.562	515
48.588	555	48.612	491
48.638	569	48.664	473
48.689	578	48.714	461
48.739	583	48.765	455
48.791	581	48.815	455
48.841	576	48.866	462
48.892	565	48.917	475
48.942	548	48.968	494
48.993	529	49.018	517
49.044	506	49.069	543
49.095	483	49.119	571
49.145	460	49.171	600
49.196	438	49.221	628
49.246	418	49.272	652
49.298	401	49.322	673
49.348	389	49.373	687
49.399	382	49.424	697
49.449	380	49.475	700
49.500	384	49.525	697
49.550	393	49.576	687
49.602	407	49.626	672
49.652	424	49.677	652
49.703	445	49.728	627
49.753	468	49.779	601
49.804	493	49.829	573
49.855	514	49.880	545
49.906	536	49.930	518
49.956	554	49.982	496
50.007	568	50.032	478
50.057	578	50.083	465
50.109	583	50.133	458
50.159	581	50.184	459
50.210	575	50.235	465
50.260	565	50.286	477
50.311	549	50.336	495
