Source,CH1
Second,Volt
-4.32180000000,0.35712,
-4.32160000000,0.44640,
-4.32139950000,0.47120,
-4.32120000000,0.49600,
-4.32100000000,0.49600,
-4.32080000000,0.43648,
-4.32060000000,0.40672,
-4.32040000000,0.28768,
-4.32020000000,0.20832,
-4.31999950000,0.03968,
-4.31980000000,-0.08432,
-4.31960000000,-0.20336,
-4.31940000000,-0.36704,
-4.31920000000,-0.46128,
-4.31900000000,-0.53568,
-4.31880000000,-0.51584,
-4.31859950000,-0.50096,
-4.31840000000,-0.44640,
-4.31820000000,-0.36704,
-4.31800000000,-0.26784,
-4.31780000000,-0.17360,
-4.31760000000,-0.04464,
-4.31740000000,0.06944,
-4.31719950000,0.19840,
-4.31700000000,0.27776,
-4.31680000000,0.36704,
-4.31660000000,0.45632,
-4.31640000000,0.47616,
-4.31620000000,0.50096,
-4.31600000000,0.47616,
-4.31579950000,0.43152,
-4.31560000000,0.37200,
-4.31540000000,0.26784,
-4.31520000000,0.14384,
-4.31500000000,0.02976,
-4.31480000000,-0.11904,
-4.31460000000,-0.22816,
-4.31439950000,-0.38192,
-4.31420000000,-0.47120,
-4.31399950000,-0.54064,
-4.31380000000,-0.51088,
-4.31360000000,-0.47120,
-4.31340000000,-0.43152,
-4.31320000000,-0.34224,
-4.31299950000,-0.27776,
-4.31280000000,-0.13392,
-4.31259950000,-0.02480,
-4.31240000000,0.09424,
-4.31220000000,0.21328,
-4.31200000000,0.30752,
-4.31180000000,0.39680,
-4.31159950000,0.47120,
-4.31140000000,0.48608,
-4.31119950000,0.49600,
-4.31100000000,0.47120,
-4.31080000000,0.43152,
-4.31060000000,0.36704,
-4.31040000000,0.26288,
-4.31019950000,0.14880,
-4.31000000000,0.02976,
-4.30979950000,-0.13888,
-4.30960000000,-0.24304,
-4.30940000000,-0.39680,
-4.30920000000,-0.47616,
-4.30900000000,-0.53568,
-4.30879950000,-0.51088,
-4.30860000000,-0.47120,
-4.30839950000,-0.43152,
-4.30820000000,-0.33232,
