Source,CH1,CH2
Second,Volt,Volt
-0.10824,2.16,-0.128
-0.10822,2.16,-0.128
-0.1082,2.2032,-0.132
-0.10818,2.2032,-0.128
-0.10816,2.2896,-0.128
-0.10814,2.2896,-0.124
-0.10812,2.2896,-0.112
-0.1081,2.376,-0.112
-0.10808,2.376,-0.1
-0.10806,2.4624,-0.116
-0.10804,2.4624,-0.112
-0.10802,2.5488,-0.088
-0.108,2.5488,-0.104
-0.10798,2.5488,-0.076
-0.10796,2.5488,-0.08
-0.10794,2.6352,-0.076
-0.10792,2.6352,-0.08
-0.1078999875,2.6352,-0.092
-0.10788,2.7216,-0.072
-0.10786,2.7216,-0.076
-0.10784,2.7648,-0.076
-0.10782,2.7648,-0.076
-0.1078,2.7648,-0.084
-0.10778,2.8512,-0.06
-0.10776,2.9376,-0.044
-0.10774,2.9376,-0.068
-0.10772,2.9376,-0.036
-0.1077,3.024,-0.012
-0.10768,3.024,-0.04
-0.10766,3.1104,-0.036
-0.10764,3.1104,-0.032
-0.10762,3.1104,-0.028
-0.1076,3.1968,-0.028
-0.10758,3.1968,-0.024
-0.10756,3.1968,-0.016
-0.10754,3.2832,-0.012
-0.10752,3.2832,-0.012
-0.1075,3.3264,0
-0.10748,3.4128,0.008
-0.10746,3.3264,0.004
-0.10744,3.4128,0.012
-0.10742,3.4128,0.012
-0.1074,3.4128,0.016
-0.10738,3.4992,0.028
-0.10736,3.4992,0.028
-0.10734,3.5856,0.036
-0.10732,3.5856,0.04
-0.1073,3.5856,0.036
-0.1072799875,3.672,0.044
-0.10726,3.672,0.044
-0.10724,3.7584,0.052
-0.10722,3.7584,0.056
-0.1072,3.8448,0.064
-0.10718,3.8448,0.056
-0.10716,3.7584,0.064
-0.10714,3.8448,0.072
-0.10712,3.8448,0.08
-0.1071,3.888,0.088
-0.10708,3.888,0.096
-0.10706,4.0608,0.1
-0.10704,3.9744,0.096
-0.10702,3.9744,0.1
-0.107,3.9744,0.108
-0.10698,3.888,0.108
-0.10696,3.888,0.12
-0.10694,3.8448,0.12
-0.10692,3.8448,0.128
-0.1069,3.7584,0.136
-0.10688,3.8448,0.14
-0.10686,3.7584,0.148
-0.10684,3.7584,0.144
-0.10682,3.672,0.16
-0.1068,3.672,0.144
-0.10678,3.5856,0.16
-0.10676,3.5856,0.168
-0.10674,3.5856,0.16
-0.10672,3.4992,0.168
-0.1067,3.5856,0.176
-0.10668,3.4992,0.18
-0.10666,3.4992,0.184
-0.10664,3.4128,0.188
-0.10662,3.4128,0.196
-0.1066,3.4128,0.196
-0.10658,3.2832,0.196
-0.10656,3.3264,0.2
-0.10654,3.2832,0.208
-0.10652,3.2832,0.212
-0.1065,3.1968,0.224
-0.10648,3.1968,0.232
-0.10646,3.1104,0.228
-0.10644,3.1104,0.216
-0.10642,3.1104,0.232
-0.1064,3.1104,0.24
-0.10638,3.024,0.236
-0.10636,3.024,0.244
-0.10634,2.9376,0.252
-0.1063199875,2.9376,0.248
-0.1063,2.8512,0.244
